iteration,MSE-FNO__mean,MSE-FNO__std,FINO ($r = 400$)__mean,FINO ($r = 400$)__std
0,0.6606625,0.0,0.5099375,0.0
100,0.6616381,0.0,0.5115015,0.0
200,0.66262555,0.0,0.5138096,0.0
300,0.66385967,0.0,0.5151132,0.0
400,0.6648592,0.0,0.5167814,0.0
500,0.66567343,0.0,0.518533,0.0
600,0.6667875,0.0,0.5202736,0.0
700,0.66781104,0.0,0.5216699,0.0
800,0.66887903,0.0,0.5235319,0.0
900,0.669677,0.0,0.52558494,0.0
1000,0.6707157,0.0,0.52686757,0.0
1100,0.6716759,0.0,0.52830625,0.0
1200,0.67276424,0.0,0.5301534,0.0
1300,0.67355657,0.0,0.5315835,0.0
1400,0.6746411,0.0,0.5325334,0.0
